CHISQcheck_ratioPRF

Command line: -o HiQ -y chi2 -b -f -k 500 -n 100 -s 1 -p 500 -q 500

AUC: None
  CumProb        2Delta       chi^2    chi^2_Prob
    0.778   3.66742      14.4185         0.999854
    0.78    3.66943      14.4556         0.999856
    0.782   3.67425      14.4928         0.999859
    0.784   3.68264      14.5299         0.999862
    0.786   3.68455      14.5671         0.999865
    0.788   3.70208      14.6043         0.999867
    0.79    3.70727      14.6414         0.99987
    0.792   3.71582      14.6786         0.999873
    0.794   3.71734      14.7157         0.999875
    0.796   3.76693      14.7529         0.999877
    0.798   3.7999       14.7901         0.99988
    0.8     3.85497      14.8272         0.999882
    0.802   3.91671      14.8644         0.999884
    0.804   3.99451      14.9015         0.999887
    0.806   3.99461      14.9387         0.999889
    0.808   4.03451      14.9759         0.999891
    0.81    4.08852      15.013          0.999893
    0.812   4.08935      15.0502         0.999895
    0.814   4.11669      15.0873         0.999897
    0.816   4.21259      15.1245         0.999899
    0.818   4.28415      15.1617         0.999901
    0.82    4.33141      15.1988         0.999903
    0.822   4.41494      15.236          0.999905
    0.824   4.4285       15.2732         0.999907
    0.826   4.45665      15.3103         0.999909
    0.828   4.46525      15.3475         0.999911
    0.83    4.46689      15.3846         0.999912
    0.832   4.49411      15.4218         0.999914
    0.834   4.52772      15.459          0.999916
    0.836   4.66978      15.4961         0.999917
    0.838   4.69202      15.5333         0.999919
    0.84    4.71155      15.5704         0.999921
    0.842   4.72305      15.6076         0.999922
    0.844   4.73908      15.6448         0.999924
    0.846   4.75771      15.6819         0.999925
    0.848   4.7698       15.7191         0.999927
    0.85    4.77383      15.7562         0.999928
    0.852   4.90103      15.7934         0.999929
    0.854   4.90945      15.8306         0.999931
    0.856   4.93052      15.8677         0.999932
    0.858   5.04487      15.9049         0.999933
    0.86    5.11026      15.9421         0.999935
    0.862   5.23245      15.9792         0.999936
    0.864   5.24248      16.0164         0.999937
    0.866   5.2566       16.0535         0.999938
    0.868   5.26617      16.0907         0.99994
    0.87    5.39517      16.1279         0.999941
    0.872   5.46926      16.165          0.999942
    0.874   5.50529      16.2022         0.999943
    0.876   5.56451      16.2393         0.999944
    0.878   5.57874      16.2765         0.999945
    0.88    5.58467      16.3137         0.999946
    0.882   5.58626      16.3508         0.999947
    0.884   5.66583      16.388          0.999948
